,ACTIVITY_NR,REPORTING_ID,STATE_FLAG,ESTAB_NAME,SITE_ADDRESS,SITE_CITY,SITE_STATE,SITE_ZIP,OWNER_TYPE,OWNER_CODE,ADV_NOTICE,SAFETY_HLTH,SIC_CODE,NAICS_CODE,INSP_TYPE,INSP_SCOPE,WHY_NO_INSP,UNION_STATUS,SAFETY_MANUF,SAFETY_CONST,SAFETY_MARIT,HEALTH_MANUF,HEALTH_CONST,HEALTH_MARIT,MIGRANT,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,HOST_EST_KEY,NR_IN_ESTAB,OPEN_DATE,CASE_MOD_DATE,CLOSE_CONF_DATE,CLOSE_CASE_DATE,LOAD_DT,RNUM
0,342934890,0524500,,"SPRINGFIELD FARM & HOME SUPPLY, INC.",2804 N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,A,,N,S,,452990,B,B,I,B,,,,,,,,2804 N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,40,08-FEB-18,03-DEC-23,08-FEB-18,25-FEB-19,04-DEC-23,1
1,342965498,0524500,,"FRIENDLY CHEVROLET, INC.",2450 PRAIRIE CROSSING DRIVE,SPRINGFIELD,IL,62711,A,,N,S,,441110,C,B,I,B,,,,,,,,2450 PRAIRIE CROSSING DRIVE,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,90,22-FEB-18,03-DEC-23,22-FEB-18,16-MAY-19,04-DEC-23,2
2,342997244,0524500,,"AMERICAN MULTI-CINEMA, INC.",3141 MERCANTILE DRIVE,SPRINGFIELD,IL,62704,A,,N,H,,512131,B,B,I,B,,,,,,,,3141 MERCANTILE DRIVE,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,24,07-MAR-18,03-DEC-23,07-MAR-18,16-APR-18,04-DEC-23,3
3,343056065,0524500,,"WEBER BUILDERS AND RENOVATORS, INC.",1308 S 2ND ST.,SPRINGFIELD,IL,62704,A,,N,S,,238130,B,B,I,B,,,,,,,,820 E SCARRITT,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,4,30-MAR-18,03-DEC-23,30-MAR-18,23-DEC-19,04-DEC-23,4
4,343056156,0524500,,HUGO ESTRADA,3000 SOUTH GRAND AVE.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,304 LEXINGTON AVENUE,CLUTE,TX,77531,HOST_EST_KEY_VALUE,4,30-MAR-18,03-DEC-23,30-MAR-18,27-APR-22,04-DEC-23,5
5,343055018,0524500,,"BLACKHAWK ROOFING, LLC",1244 E SANGAMON AVE.,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,B,I,B,,,,,,,,4208 SOUTHWOODS ROAD,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,6,30-MAR-18,03-DEC-23,30-MAR-18,15-MAY-18,04-DEC-23,6
6,343099636,0524500,,"SETH MOLEN CONSTRUCTION, INC.",1530 S 4TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,231 E CANEDY ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,5,18-APR-18,03-DEC-23,18-APR-18,31-AUG-18,04-DEC-23,7
7,343097499,0524500,,"HILD BROTHERS CONSTRUCTION AND REMODELING, L.L.C.",2101 S 6TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,1906 700TH ST,MOUNT PULASKI,IL,62548,HOST_EST_KEY_VALUE,3,18-APR-18,03-DEC-23,18-APR-18,19-APR-18,04-DEC-23,8
8,343096996,0524500,,BRANDON TEDRICK,2053 S 5TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,B,I,B,,,,,,,,14416 PIONEER DRIVE,ATHENS,IL,62613,HOST_EST_KEY_VALUE,6,18-APR-18,03-DEC-23,18-APR-18,19-APR-18,04-DEC-23,9
9,343125514,0524500,,"SMITH GENERAL CONTRACTING, INC.",2253 E KEYS,SPRINGFIELD,IL,62701,A,,N,S,,238160,B,D,C,B,,,,,,,,3112 S. 12TH ST.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,01-MAY-18,03-DEC-23,01-MAY-18,07-MAY-18,04-DEC-23,10
